Name,"Modified Time","Change Time","Access Time","Created Time",Size,"Flags(Dir)","Flags(Meta)",Known,Location,"MD5 Hash","SHA-256 Hash","MIME Type",Extension
w.procps.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/w.procps.1.gz",,,application/octet-stream,gz
watch.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/watch.1.gz",,,application/octet-stream,gz
"xdg-user-dirs-update.1.gz","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/xdg-user-dirs-update.1.gz",,,application/octet-stream,gz
zdiff.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/zdiff.1.gz",,,application/octet-stream,gz
grub-mount.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/grub-mount.1.gz",,,application/octet-stream,gz
mountpoint.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/mountpoint.1.gz",,,application/octet-stream,gz
ncal.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/ncal.1.gz",,,application/octet-stream,gz
neqn.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/neqn.1.gz",,,application/octet-stream,gz
man-recode.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/man-recode.1.gz",,,application/octet-stream,gz
mv.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/mv.1.gz",,,application/octet-stream,gz
mtrace.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/mtrace.1.gz",,,application/octet-stream,gz
nsenter.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/nsenter.1.gz",,,application/octet-stream,gz
nsupdate.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/nsupdate.1.gz",,,application/octet-stream,gz
pathchk.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/pathchk.1.gz",,,application/octet-stream,gz
pastebinit.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/pastebinit.1.gz",,,application/octet-stream,gz
pkcs7.1ssl.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/pkcs7.1ssl.gz",,,application/octet-stream,gz
plymouth.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/plymouth.1.gz",,,application/octet-stream,gz
pr.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/pr.1.gz",,,application/octet-stream,gz
psfgettable.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/psfgettable.1.gz",,,application/octet-stream,gz
splitfont.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/splitfont.1.gz",,,application/octet-stream,gz
stat.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/stat.1.gz",,,application/octet-stream,gz
systemd-cgtop.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/systemd-cgtop.1.gz",,,application/octet-stream,gz
tar.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/tar.1.gz",,,application/octet-stream,gz
timedatectl.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/timedatectl.1.gz",,,application/octet-stream,gz
trial3.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/trial3.1.gz",,,application/octet-stream,gz
ucf.1.gz,"0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00",0,Unallocated,,unknown,"/img_imagen_victima.img/vol_vol5/usr/share/man/man1/ucf.1.gz",,,application/octet-stream,gz
